idPelícula,titulo,anoDeLanzamiento,resumen
1,El Padrino,1972,"La épica historia de la familia mafiosa Corleone y su lucha por mantener el poder en América."
2,Forrest Gump,1994,"Forrest Gump, un hombre con un coeficiente intelectual bajo, narra las experiencias de su vida inusual."
3,Porfirio,2011,"La historia real de un hombre en silla de ruedas que decide secuestrar un avión para llamar la atención sobre su situación."
4,El Club de la Lucha,1999,"Un oficinista insomne y un jabonero carismático canalizan el malestar primal masculino en una nueva forma de terapia."
5,Gladiador,2000,"En la Roma antigua, el general Maximus es traicionado y su familia asesinada por un príncipe corrupto. Busca venganza como gladiador."
6,Interstellar,2014,"Un equipo de exploradores viaja a través de un agujero de gusano en el espacio en un intento de asegurar la supervivencia de la humanidad."
7,El Señor de los Anillos: La Comunidad del Anillo,2001,"Un joven hobbit, Frodo, es lanzado a una increíble aventura para destruir un anillo antiguo que amenaza con el mal absoluto."
8,El Paseo,2010,"Una comedia colombiana sobre una familia que realiza un viaje por carretera con el objetivo de revivir los lazos familiares."
9,La Casa Muda,2010,"Filmada en una sola toma, esta película de terror sigue a una joven y su padre mientras intentan renovar una casa abandonada en Uruguay."
10,Parásito,2019,"Una familia de desempleados toma un peculiar interés en una familia rica, lo que lleva a eventos inesperadamente complicados."
